name_original,followers,genres,popularity,nationality,sex,group,founded,born,first_release,last_release,died,compilations,total_albums,total_appears_on,total_singles,total_tracks
Leon Bridges,973170,"['funk', 'modern blues', 'soul']",77,us,M,0,,1989.0,2015-03-02,2020-04-10,99.0,14,5,24,24,105
Starlito,212336,"['deep southern trap', 'dirty south rap', 'gangster rap']",53,us,M,0,,1984.0,2010-02-03,2020-05-01,99.0,0,18,15,21,259
Bliss n Eso,241465,['australian hip hop'],61,australia,G,1,2000.0,,2004-08-23,2019-03-01,,1,7,6,16,144
Ricardo Arjona,4766004,"['cantautor', 'latin', 'latin arena pop']",77,guatemala,M,0,,1964.0,1992-01-01,2020-05-29,99.0,5,34,10,7,554
Lil Wayne,8997880,"['hip hop', 'new orleans rap', 'pop rap']",89,us,M,0,,1982.0,2008-01-01,2020-05-29,99.0,0,50,0,0,861
Seven Kayne,553574,"['argentine hip hop', 'trap argentino', 'trap latino']",59,argentina,M,0,,1999.0,2017-11-20,2020-05-21,99.0,0,0,4,20,22
Yalın,589820,['turkish pop'],65,turkey,M,0,,1980.0,2004-03-24,2020-04-10,99.0,3,13,6,31,249
Laleh,684377,['swedish pop'],61,sweden,F,0,,1982.0,2005-01-01,2020-04-16,99.0,0,12,0,38,190
De La Ghetto,3813404,"['latin', 'latin hip hop', 'reggaeton']",78,us,M,0,,1984.0,2008-10-14,2020-05-15,99.0,0,3,0,47,100
August Alsina,1928963,"['dance pop', 'deep pop r&b', 'pop']",67,us,M,0,,1992.0,2013-01-01,2019-12-06,99.0,16,15,16,19,231
Ogie Alcasid,290973,"['classic opm', 'opm']",50,philippines,M,0,,1967.0,1992-01-01,2020-04-17,99.0,13,23,15,12,343
Swizz Beatz,272398,"['battle rap', 'hip hop', 'pop rap']",66,us,M,0,,1978.0,2006-01-01,2020-04-24,99.0,9,3,24,32,69
Majoe,241765,"['deep german hip hop', 'german hip hop']",63,germany,M,0,,1989.0,2012-04-27,2020-05-29,99.0,0,9,10,32,306
Nívea Soares,619621,"['adoracao', 'brazilian gospel', 'rock gospel brasileiro']",58,brazil,F,0,,1976.0,2003-06-03,2020-05-29,99.0,4,11,28,21,148
Paulina Rubio,1542501,"['dance pop', 'latin', 'latin arena pop']",69,mexico,F,0,,1971.0,1992-01-01,2020-03-20,99.0,0,44,0,6,633
SSIO,345284,"['deep german hip hop', 'german hip hop']",63,germany,M,0,,1989.0,2013-08-16,2020-05-29,99.0,2,4,24,9,126
Sigala,1099601,"['dance pop', 'edm', 'pop']",77,uk,M,0,,1992.0,2016-08-01,2020-02-14,99.0,0,3,0,47,134
RIKI,470213,"['italian arena pop', 'italian pop']",54,italy,M,0,,1992.0,2017-01-01,2020-02-05,99.0,0,3,1,9,53
GoldLink,612365,"['alternative r&b', 'dmv rap', 'hip hop']",73,us,M,0,,1993.0,2015-10-03,2019-12-12,99.0,0,6,0,44,132
Lil Durk,1478836,"['chicago drill', 'chicago rap', 'drill']",79,us,M,0,,1993.0,2012-03-04,2020-05-08,99.0,0,28,0,22,407
Celtic Woman,309277,"['celtic', 'operatic pop']",61,ireland,G,1,2004.0,,2007-01-01,2020-02-27,,0,50,0,0,875
MC Dede,701676,"['funk carioca', 'funk ostentacao']",54,brazil,M,0,,1990.0,2015-11-27,2020-05-23,99.0,0,0,0,50,53
Dobre Brothers,299290,['social media pop'],45,us,G,1,2015.0,,2020-03-21,2020-05-01,,0,0,0,2,2
Patti LaBelle,502852,"['disco', 'funk', 'motown']",56,us,F,0,,1944.0,1963-01-01,2019-04-19,99.0,12,27,0,11,342
The D.O.C.,225363,"['electro', 'g funk', 'gangster rap']",44,us,M,0,,1968.0,1989-01-01,2019-08-23,99.0,14,3,26,1,53
Mark Chesnutt,356223,"['country', 'country road', 'country rock']",59,us,M,0,,1963.0,1990-01-01,2020-04-17,99.0,22,19,24,5,224
Count Basie,241349,"['adult standards', 'bebop', 'big band']",67,us,M,0,,1904.0,1998-01-01,2020-04-24,1984.0,0,50,0,0,1189
Intocable,1331739,"['banda', 'grupera', 'latin']",73,us,G,1,1994.0,,1994-01-01,2019-03-15,,0,43,0,7,631
Martin Jensen,821507,"['big room', 'dance pop', 'danish electronic']",74,denmark,M,0,,1991.0,2017-08-18,2020-05-15,99.0,0,0,0,50,78
YFN Lucci,1421000,"['atl hip hop', 'atl trap', 'melodic rap']",68,us,M,0,,1991.0,2015-04-09,2020-05-19,99.0,1,15,8,29,295
Arijit Singh,13252194,"['desi pop', 'filmi', 'modern bollywood']",81,india,M,0,,1987.0,2014-06-17,2020-05-29,99.0,0,14,0,36,206
A-Mei Chang,310972,"['c-pop', 'mandopop']",60,taiwan,F,0,,1972.0,1997-01-01,2019-06-17,99.0,2,26,7,19,381
Lila Downs,288091,"['latin alternative', 'nueva cancion', 'oaxaca indie']",61,mexico,F,0,,1968.0,1999-01-01,2020-05-15,99.0,7,21,15,16,325
Ashley Tisdale,824142,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",61,us,F,0,,1985.0,2006-01-01,2020-05-29,99.0,0,5,10,35,156
Ana Torroja,361396,"['latin', 'latin arena pop', 'latin pop']",61,spain,F,0,,1959.0,1997-04-07,2019-12-20,99.0,26,12,30,8,188
Legião Urbana,3408834,"['brazilian punk', 'brazilian rock', 'mpb']",70,brazil,G,1,1982.0,,1985-01-01,2015-05-04,,29,16,30,0,239
Joss Stone,804789,"['british soul', 'neo soul', 'pop rock']",61,uk,M,0,,1987.0,2003-01-01,2020-04-20,99.0,0,31,0,19,429
Frenna,409039,"['dutch hip hop', 'dutch pop']",76,netherlands,M,0,,1991.0,2015-07-31,2020-05-22,99.0,0,5,1,44,142
Achille Lauro,485605,"['italian alternative', 'italian hip hop', 'italian pop']",70,italy,M,0,,1990.0,2014-01-13,2020-05-01,99.0,2,8,22,28,161
KYLE,868821,"['pop', 'pop rap', 'rap']",75,us,M,0,,1993.0,2013-04-05,2020-05-18,99.0,0,6,0,44,148
Gurdas Maan,236855,"['bhangra', 'desi pop', 'filmi']",41,india,M,0,,1957.0,1989-05-20,2018-07-21,99.0,0,50,0,0,492
KHEA,1825272,"['argentine hip hop', 'trap argentino']",78,argentina,M,0,,2000.0,2017-08-19,2020-05-30,99.0,0,1,13,42,52
Migos,10291490,"['atl hip hop', 'hip hop', 'pop rap']",83,us,G,1,2008.0,,2011-08-25,2020-05-22,,0,22,0,28,386
Charli XCX,1986360,"['candy pop', 'dance pop', 'electropop']",77,uk,F,0,,1992.0,2013-12-04,2020-05-15,99.0,0,15,0,35,254
DJ Quik,482592,"['g funk', 'gangster rap', 'hardcore hip hop']",57,us,M,0,,1970.0,1991-01-01,2020-05-27,99.0,12,17,18,9,286
MC MM,771182,"['funk carioca', 'funk ostentacao']",52,brazil,M,0,,1991.0,2015-01-24,2020-05-27,99.0,0,3,0,47,82
Inigo Pascual,324944,['opm'],54,philippines,M,0,,1997.0,2016-07-10,2020-05-01,99.0,6,1,16,31,48
T3R Elemento,1357656,"['norteno', 'regional mexican pop']",75,us,G,1,2015.0,,2016-03-29,2020-05-22,,0,7,8,37,134
Aerosmith,8336197,"['album rock', 'classic rock', 'hard rock']",79,us,G,1,1970.0,,1973-01-01,2017-12-22,,17,27,7,3,334
MC Rick,497539,"['funk bh', 'funk carioca', 'funk ostentacao']",64,brazil,M,0,,2001.0,2018-07-05,2020-05-17,99.0,0,1,0,49,57
Pimpinela,847621,"['cancion melodica', 'latin', 'latin pop']",62,argentina,G,1,1981.0,,1982-07-15,2020-03-04,,11,27,18,6,409
Namika,469397,['german pop'],59,germany,F,0,,1991.0,2015-05-19,2019-11-22,99.0,7,3,18,23,117
Jeezy,1518771,"['atl hip hop', 'crunk', 'dirty south rap']",74,us,M,0,,1977.0,2004-01-01,2020-03-27,99.0,0,50,0,0,801
Sabotage,687971,"['brazilian hip hop', 'brazilian reggae', 'funk ostentacao']",57,brazil,M,0,,1973.0,2014-11-20,2018-11-23,99.0,1,2,12,11,36
BoA,445589,"['j-idol', 'k-pop']",57,south korea,F,0,,1986.0,2000-08-01,2020-02-20,99.0,0,27,0,23,387
NoCap,220427,"['alabama rap', 'atl trap', 'trap']",64,us,M,0,,1998.0,2018-09-02,2020-05-30,99.0,1,5,18,29,98
Jonas Brothers,3931273,"['boy band', 'dance pop', 'pop']",84,us,G,1,2005.0,,2006-08-08,2020-05-29,,18,10,28,13,157
Rae Sremmurd,5767113,"['hip hop', 'melodic rap', 'pop rap']",78,us,G,1,2013.0,,2014-01-01,2018-12-21,,25,8,28,14,140
